,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,cv
13,13.0,97.61702461242676,9.58548581274406,9.397323894500731,1.1801592857328107,0.05,8,650,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 650}",0.9891606336116996,0.9890881564218816,0.9891364745484268,0.9893417836708234,0.9893055449299988,0.989206518636566,9.912018960728917e-05,58,5
14,14.0,110.06617002487182,18.075944955497928,10.674475145339963,1.622877952025395,0.05,8,700,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 700}",0.9895914702400606,0.9895149665396974,0.9896277088349694,0.9897162506593438,0.9897041710790688,0.989630913470628,7.437585884132546e-05,56,5
15,15.0,58.751578617095944,0.9321112424702478,6.502211999893189,0.5105566368148594,0.05,12,200,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 200}",0.9914517181120496,0.9913550818589594,0.9913671613905956,0.9915402672808462,0.9912060655599086,0.991384058840472,0.000111162629575,51,5
16,16.0,105.43252635002136,3.202068903324358,13.638262844085691,0.25087187848795,0.05,12,400,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 400}",0.9936743519331276,0.9935092650007652,0.993481079426947,0.9933884430628984,0.9932676472601498,0.9934641573367776,0.0001347973948607,42,5
17,17.0,154.1164222717285,2.088117796323279,19.58153314590454,0.3247341716184976,0.05,12,600,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 600}",0.9944917335738502,0.9943910708102144,0.9942984610676696,0.9941856953610384,0.993992422076641,0.9942718765778829,0.0001724952864256,34,5
18,18.0,166.8105818271637,3.492039496211172,21.977497577667236,0.4064155924204834,0.05,12,650,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 650}",0.9945481047214862,0.9944313359156688,0.9943709382574872,0.9942662258962042,0.9940568465047734,0.994334690259124,0.0001661833649203,33,5
19,19.0,188.6152910709381,13.70801024454526,26.697353458404542,3.2452402017393127,0.05,12,700,"{'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 700}",0.994685006080031,0.9945319986793044,0.9944957600843956,0.9943668890651612,0.9942138810483464,0.9944587069914478,0.0001589504040274,30,5
20,20.0,89.6380862236023,1.8015067359952943,12.831300497055054,1.964421266213558,0.05,15,200,"{'learning_rate': 0.05, 'max_depth': 15, 'n_estimators': 200}",0.9937065640174912,0.9937186435491274,0.9934005492160384,0.9935454776064714,0.9934568940177892,0.9935656256813836,0.0001286521211913,41,5
21,21.0,153.16107578277587,4.213696723236193,24.245296478271484,2.1112397121207422,0.05,15,400,"{'learning_rate': 0.05, 'max_depth': 15, 'n_estimators': 400}",0.9945843433163952,0.9945883698269404,0.9944273094051234,0.9943709155919196,0.9943467564313698,0.9944635389143498,0.0001036400171936,29,5
22,22.0,220.25081028938297,4.818837619253865,33.177854204177855,3.81405343217988,0.05,15,600,"{'learning_rate': 0.05, 'max_depth': 15, 'n_estimators': 600}",0.994833986970212,0.9949064641600296,0.994805801396394,0.9946809581523074,0.9945601623495588,0.9947574746057002,0.0001226168030773,25,5
